pincode,city,country
2008,Å»urowa,Poland
2069,AÃ§u,Brazil
2174,Aga,Philippines
2120,Al MinyÄ,Egypt
2152,Al MisrÄkh,Yemen
2038,Allentown,United States
2172,Anjozorobe,Madagascar
2000,Aqaba,Jordan
2022,Ar RiqÄb,Tunisia
2126,Augsburg,Germany
2025,Austin,United States
2181,Ayolas,Paraguay
2062,Bader,Indonesia
2139,Baixi,China
2165,Bajia,China
2005,Bamnet Narong,Thailand
2032,Baoâ€™an,China
2166,Barbacena,Brazil
2073,BayanaÅ«yl,Kazakhstan
2086,Beskolen,Indonesia
2002,Bestovje,Croatia
2088,Bezerros,Brazil
2173,Bobrovka,Russia
2123,Boden,Sweden
2079,Bosaso,Somalia
2154,Buga,Mongolia
2170,BurÅ«m,Yemen
2080,Camaligan,Philippines
2142,Camasca,Honduras
2158,Canchayllo,Peru
2150,Carepa,Colombia
2171,Changling,China
2140,Chaoshui,China
2185,ChavÃ£o,Portugal
2040,Chernoyerkovskaya,Russia
2035,Chortkiv,Ukraine
2018,CiÃ©naga,Colombia
2051,Cianorte,Brazil
2175,Cilentung,Indonesia
2067,Cipancur,Indonesia
2012,Cloyne,Ireland
2017,Colombo,Sri Lanka
2046,Datian,China
2044,Debarkâ€™,Ethiopia
2054,DolnÃ­ Lhota,Czech Republic
2161,Dongpu,China
2107,Dundee,South Africa
2105,Emiliano Zapata,Mexico
2047,Esquina,Argentina
2186,FlorianÃ³polis,Brazil
2072,Fort-de-France,Martinique
2192,Fucheng,China
2138,GÃ¶teborg,Sweden
2167,Gangu Chengguanzhen,China
2116,Geldrop,Netherlands
2151,Gif-sur-Yvette,France
2039,GlÃ³ria do GoitÃ¡,Brazil
2029,Gonâ€™ba,Russia
2102,Gontar,Indonesia
2014,Guadalupe Victoria,Mexico
2027,Guanyinsi,China
2115,GuaxupÃ©,Brazil
2193,Guocun,China
2109,Hebi,China
2113,HÄ«sh,Syria
2146,Huozhuangzi,China
2009,Inuyama,Japan
2042,JÃ¶nkÃ¶ping,Sweden
2178,JammÄl,Tunisia
2127,JÄ«sh,Israel
2131,Jiangmen,China
2143,Jinshanzui,China
2168,Jinshiqiao,China
2159,Jirny,Czech Republic
2076,Juzhen,China
2164,Kangar,Malaysia
2147,Karagay,Russia
2195,Khon Buri,Thailand
2006,Khulm,Afghanistan
2118,Kineshma,Russia
2003,Ko Pha Ngan,Thailand
2001,KonÄe,Macedonia
2015,Krajan Menggare,Indonesia
2085,Kui Buri,Thailand
2128,Kulautuva,Lithuania
2137,La Clotilde,Argentina
2106,Labruge,Portugal
2144,Le Mans,France
2132,Leshan,China
2191,Likhoy,Russia
2155,Liuji,China
2033,Lixiqiao,China
2004,Longos,Portugal
2101,Longtian,China
2135,Loreto,Philippines
2089,Lovas,Croatia
2180,Machinga,Malawi
2133,Madrid,Spain
2141,Mali,China
2110,Maloarkhangelâ€™sk,Russia
2055,Mamer,Luxembourg
2099,Manicaragua,Cuba
2034,Maradi,Niger
2153,Massenya,Chad
2028,MÄdÄrÄ«pur,Bangladesh
2104,MÄ›cholupy,Czech Republic
2125,Midland,United States
2083,Mingfeng,China
2026,Mingguang,China
2050,Mingyihe,China
2074,Miras,Albania
2098,Mizhuang,China
2149,Mondim de Basto,Portugal
2124,Mungkin,Indonesia
2057,Murovanoye,Ukraine
2049,Nantes,France
2019,Ningâ€™an,China
2129,Nizhnyaya Omka,Russia
2187,North Side,Cayman Islands
2108,Omemee,Canada
2179,Oslo,Norway
2061,PÃ©rigueux,France
2091,Palapye,Botswana
2070,Palikir - National Government Center,Micronesia
2023,Paritjunus,Indonesia
2007,Pavlodar,Kazakhstan
2169,Pembroke,Malta
2043,Penang,Indonesia
2160,Penedono,Portugal
2196,PerdÃµes,Brazil
2134,Pereira,Portugal
2056,PiastÃ³w,Poland
2024,Pines,Philippines
2111,Pinggirsari,Indonesia
2010,Pizarro,Colombia
2090,Portsmouth,Dominica
2148,Postmasburg,South Africa
2075,Praia das MaÃ§Ã£s,Portugal
2059,Prior Velho,Portugal
2020,Progreso,Mexico
2182,Pruszcz,Poland
2122,Przesmyki,Poland
2199,Puerto MorazÃ¡n,Nicaragua
2068,Puro,Philippines
2097,Pustomyty,Ukraine
2063,Qianjiang,China
2064,Qingtang,China
2077,Qinling Jieban,China
2021,Quinta,Portugal
2058,Quintas,Portugal
2183,Radocza,Poland
2030,Ragay,Philippines
2121,RÄjbirÄj,Nepal
2189,RzozÃ³w,Poland
2119,Saint Hubert,Mauritius
2130,Sala,Sweden
2157,San Isidro,Mexico
2103,San Narciso,Philippines
2036,San Vicente Centenario,Honduras
2071,Santa InÃªs,Brazil
2065,Sekongkang Bawah,Indonesia
2060,Serang,Indonesia
2087,Seremban,Malaysia
2084,Shankill,Ireland
2037,Shreveport,United States
2082,Siao,Thailand
2176,StudenÃ¡,Czech Republic
2198,Studzienice,Poland
2194,Sukowiryo,Indonesia
2177,Sulaco,Honduras
2190,Takehara,Japan
2053,Tazouta,Morocco
2093,Tebingtinggi,Indonesia
2096,Tháº¡nh PhÃº,Vietnam
2016,Tha Bo,Thailand
2136,Tinogasta,Argentina
2066,Tongmuluo,China
2117,TrÅ¡iÄ‡,Serbia
2145,Tuamese,Indonesia
2162,Turirejo,Indonesia
2041,Ueda,Japan
2052,Ukmerge,Lithuania
2095,Um Jar Al Gharbiyya,Sudan
2114,Ungus-Ungus,Philippines
2048,Uthai,Thailand
2078,VaÌ£n GiaÌƒ,Vietnam
2188,Valdemarsvik,Sweden
2184,Villa del Carmen,Uruguay
2156,Vuka,Croatia
2011,Wangda,China
2100,Xiaochi,China
2163,Xinjiezi,China
2045,Xumu,China
2197,Yakutsk,Russia
2112,Yanfolila,Mali
2013,Yangping,China
2094,Yessentukskaya,Russia
2031,Yipeng,China
2092,Zambujeira do Mar,Portugal
2081,Zhuanqiang,China
2069,Acu,Brazil
2166,Barbacena,Brazil
2088,Bobrovka,Brazil
2051,Cianorte,Brazil
2186,FlorianÃ³polis,Brazil
2039,Gloria do Goita,Brazil
2115,GuaxupÃ©,Brazil
2196,Perdoes,Brazil
2071,Santa InÃªs,Brazil
